loc,east,north
ar_mo,-104.83,38.85
bh_bh,-108.067700635067,44.5381293524811
bh_efw,-109.362948900406,43.6856254123473
bh_lwr,-108.388601113763,42.9948118646879
bh_pa,-108.565427444029,42.9143032938755
bkf_bkf,-110.02217068991,41.5310408702133
bkf_mk,-110.61754587373,41.3349268865443
bs_bs,-109.281,42.6042
bs_ls,-109.1229,42.347095
che_nrw,-104.320135025795,44.5808622830608
cr_gj,-108.35,39.1
do_do,-108.831345269184,37.9952321855501
do_sm,-108.803037677747,38.3806571856811
do_ta,-108.752743563552,38.3685325228883
flp_hm,-109.75,42.936
gr_bc,-109,41.65
gr_grw,-109.465,41.514
gr_nh,-110.396735375489,42.9462635081289
gr_ri,-109.957094,41.1555
gun_ea,-108.474660172258,38.9571964604122
gun_ec,-108.270605077437,38.7260848330988
gun_gun,-108.520787206599,39.0074261189983
gun_gun,-108.2,38.75
gun_pt,-108.195948140657,38.6375307117396
gun_ro,-108.194784595363,38.6383235636554
hf_hf,-109.94951072631,41.0512334252162
np_lr,-105.587,41.3129
np_nc,-105.278037,41.236092
np_sw,-108.521284587245,42.4637086022892
sj_fa,-107.9,37.2
sn_blr,-110.361461109045,43.8279946801577
sn_hbr,-110.290188884367,43.1856616266313
sn_spc,-110.483631846074,43.7728514014275
sp_bo,-105.406,40
wh_cl,-107.831350187732,40.0346924283279
wh_ke,-108.593777501898,40.1731255107438
wh_me,-108.101363297298,40.0144714427171
wh_me,-107.924262380222,40.0297385340356
wh_pi,-108.239220686553,40.0517499977128
ya_lc,-107.4506,41.443
ya_lsnc,-108.369219220917,40.5954570559783
ya_lsnw,-107.662772566747,41.0279064800022
ya_mc,-107.69126,41.276
ya_mi,-107.755133651374,40.3347623718619
ya_wi,-107.542375729954,40.3750498497697
ya_ya,-108.090381678554,40.5362676041078
